iter	Passed	Remaining
439	1291	1643
440	1293	1639
441	1295	1636
442	1298	1632
443	1300	1628
444	1302	1624
445	1304	1620
446	1307	1616
447	1309	1613
448	1311	1609
449	1315	1608
450	1318	1604
451	1320	1600
452	1322	1596
453	1324	1593
454	1327	1589
455	1330	1586
456	1332	1583
457	1335	1579
458	1337	1576
459	1339	1572
460	1341	1568
461	1344	1565
462	1347	1562
463	1350	1560
464	1353	1557
465	1356	1554
466	1359	1551
467	1361	1547
468	1363	1544
469	1366	1540
470	1368	1536
471	1370	1533
472	1373	1530
473	1375	1526
474	1377	1522
475	1379	1518
476	1381	1514
477	1383	1510
478	1385	1507
479	1388	1503
480	1390	1500
481	1392	1496
482	1394	1492
483	1396	1488
484	1398	1485
485	1401	1481
486	1403	1478
487	1405	1474
488	1406	1470
489	1408	1466
490	1410	1462
491	1413	1458
492	1415	1455
493	1417	1452
494	1419	1448
495	1421	1444
496	1423	1440
497	1425	1437
498	1427	1433
499	1429	1429
500	1431	1426
501	1433	1422
502	1436	1419
503	1437	1415
504	1439	1411
505	1442	1408
506	1444	1404
507	1446	1400
508	1448	1397
509	1450	1393
510	1453	1390
511	1455	1387
512	1458	1384
513	1459	1380
514	1463	1378
515	1465	1374
516	1467	1371
517	1470	1368
518	1472	1364
519	1474	1360
520	1476	1357
521	1478	1353
522	1480	1349
523	1482	1346
524	1484	1343
525	1487	1340
526	1489	1336
527	1491	1333
528	1494	1330
529	1496	1327
530	1499	1323
531	1501	1320
532	1503	1317
533	1505	1314
534	1508	1310
535	1510	1307
536	1512	1304
537	1514	1300
538	1516	1296
539	1518	1293
540	1520	1289
541	1522	1286
542	1524	1283
543	1526	1279
544	1529	1276
545	1531	1273
546	1533	1270
547	1535	1266
548	1538	1263
549	1540	1260
550	1542	1257
551	1545	1254
552	1547	1250
553	1549	1247
554	1551	1244
555	1553	1240
556	1556	1237
557	1558	1234
558	1562	1232
559	1564	1229
560	1567	1226
561	1570	1223
562	1572	1220
563	1574	1216
564	1576	1213
565	1578	1210
566	1580	1206
567	1583	1204
568	1585	1200
569	1587	1197
570	1589	1193
571	1591	1190
572	1593	1187
573	1595	1184
574	1598	1181
575	1600	1178
576	1603	1175
577	1604	1171
578	1607	1168
579	1609	1165
580	1613	1163
581	1615	1160
582	1617	1157
583	1620	1153
584	1622	1150
585	1624	1147
586	1626	1144
587	1629	1141
588	1631	1138
589	1633	1135
590	1635	1132
591	1638	1128
592	1640	1125
593	1643	1123
594	1645	1120
595	1647	1116
596	1649	1113
597	1651	1110
598	1653	1107
599	1656	1104
600	1658	1101
601	1660	1098
602	1662	1094
603	1665	1091
604	1667	1088
605	1669	1085
606	1672	1082
607	1674	1079
608	1676	1076
609	1678	1073
610	1680	1069
611	1683	1067
612	1685	1064
613	1688	1061
614	1690	1058
615	1692	1055
616	1694	1051
617	1696	1048
618	1698	1045
619	1701	1042
620	1703	1039
621	1705	1036
622	1707	1033
623	1709	1030
624	1711	1027
625	1714	1024
626	1716	1021
627	1721	1019
628	1723	1016
629	1725	1013
630	1727	1010
631	1730	1007
632	1732	1004
633	1734	1001
634	1736	998
635	1738	995
636	1741	992
637	1743	989
638	1745	985
639	1747	982
640	1749	979
641	1751	976
642	1753	973
643	1755	970
644	1757	967
645	1759	964
646	1761	961
647	1765	958
648	1767	955
649	1770	953
650	1772	950
651	1775	947
652	1777	944
653	1781	942
654	1784	939
655	1786	936
656	1788	933
657	1791	930
658	1793	928
659	1795	925
660	1798	922
661	1800	919
662	1802	916
663	1804	913
664	1806	910
665	1809	907
666	1812	904
667	1814	901
668	1816	898
669	1818	895
670	1820	892
671	1822	889
672	1825	886
673	1827	883
674	1829	881
675	1832	878
676	1834	875
677	1836	872
678	1838	869
679	1841	866
680	1843	863
681	1845	860
682	1848	857
683	1850	854
684	1851	851
685	1854	848
686	1857	846
687	1859	843
688	1861	840
689	1863	837
690	1866	834
691	1868	831
692	1871	829
693	1873	826
694	1875	823
695	1878	820
696	1879	817
697	1881	814
698	1884	811
699	1887	808
700	1889	805
701	1891	802
702	1893	799
703	1895	796
704	1897	793
705	1900	791
706	1903	788
707	1905	785
708	1907	782
709	1910	780
710	1912	777
711	1915	774
712	1917	771
713	1919	769
714	1921	766
715	1924	763
716	1926	760
717	1928	757
718	1930	754
719	1932	751
720	1934	748
721	1937	745
722	1939	743
723	1941	740
724	1943	737
725	1945	734
726	1948	731
727	1950	728
728	1952	725
729	1955	723
730	1957	720
731	1960	717
732	1962	714
733	1965	712
734	1967	709
735	1970	706
736	1973	704
737	1976	701
738	1978	698
739	1980	695
740	1983	693
741	1985	690
742	1987	687
743	1991	685
744	1993	682
745	1996	679
746	1998	676
747	2000	674
748	2003	671
749	2006	668
750	2008	665
751	2010	663
752	2013	660
753	2015	657
754	2017	654
755	2019	651
756	2022	649
757	2024	646
758	2026	643
759	2028	640
760	2031	637
761	2033	635
762	2036	632
763	2038	629
764	2041	627
765	2044	624
766	2046	621
767	2048	618
768	2051	616
769	2053	613
770	2055	610
771	2057	607
772	2059	604
773	2061	601
774	2063	599
775	2066	596
776	2068	593
777	2071	590
778	2073	588
779	2075	585
780	2077	582
781	2080	579
782	2083	577
783	2086	574
784	2088	572
785	2090	569
786	2092	566
787	2096	564
788	2099	561
789	2101	558
790	2103	555
791	2105	552
792	2107	550
793	2109	547
794	2112	544
795	2114	542
796	2116	539
797	2119	536
798	2121	533
799	2123	530
800	2126	528
801	2128	525
802	2130	522
803	2132	519
804	2134	517
805	2136	514
806	2138	511
807	2142	509
808	2144	506
809	2147	503
810	2149	500
811	2151	498
812	2154	495
813	2156	492
814	2158	489
815	2161	487
816	2163	484
817	2165	481
818	2168	479
819	2171	476
820	2173	473
821	2176	471
822	2177	468
823	2180	465
824	2183	463
825	2185	460
826	2188	457
827	2190	455
828	2192	452
829	2194	449
830	2197	446
831	2202	444
832	2204	441
833	2206	439
834	2209	436
835	2213	434
836	2216	431
837	2219	429
838	2222	426
839	2224	423
840	2227	421
841	2229	418
842	2233	415
843	2235	413
844	2238	410
845	2240	407
846	2242	405
847	2245	402
848	2247	399
849	2250	397
850	2252	394
851	2254	391
852	2256	388
853	2258	386
854	2261	383
855	2263	380
856	2265	378
857	2268	375
858	2270	372
859	2272	369
860	2274	367
861	2276	364
862	2278	361
863	2281	359
864	2283	356
865	2285	353
866	2287	350
867	2290	348
868	2293	345
869	2295	343
870	2298	340
871	2300	337
872	2302	335
873	2306	332
874	2309	329
875	2311	327
876	2314	324
877	2316	321
878	2318	319
879	2321	316
880	2324	313
881	2326	311
882	2328	308
883	2331	305
884	2333	303
885	2337	300
886	2339	298
887	2341	295
888	2343	292
889	2346	290
890	2348	287
891	2352	284
892	2354	282
893	2357	279
894	2359	276
895	2362	274
896	2365	271
897	2367	268
898	2369	266
899	2372	263
900	2374	260
901	2376	258
902	2379	255
903	2381	252
904	2384	250
905	2386	247
906	2388	244
907	2390	242
908	2393	239
909	2397	237
910	2400	234
911	2402	231
912	2404	229
913	2407	226
914	2412	224
915	2414	221
916	2416	218
917	2418	216
918	2421	213
919	2426	210
920	2430	208
921	2433	205
922	2436	203
923	2438	200
924	2441	197
925	2444	195
926	2446	192
927	2448	189
928	2450	187
929	2453	184
930	2455	182
931	2458	179
932	2460	176
933	2463	174
934	2465	171
935	2468	168
936	2471	166
937	2473	163
938	2475	160
939	2478	158
940	2480	155
941	2482	152
942	2484	150
943	2488	147
944	2491	145
945	2493	142
946	2495	139
947	2497	137
948	2499	134
949	2504	131
950	2506	129
951	2509	126
952	2511	123
953	2513	121
954	2519	118
955	2522	116
956	2524	113
957	2526	110
958	2528	108
959	2530	105
960	2533	102
961	2535	100
962	2538	97
963	2540	94
964	2542	92
965	2544	89
966	2546	86
967	2548	84
968	2550	81
969	2552	78
970	2554	76
971	2556	73
972	2558	71
973	2561	68
974	2563	65
975	2565	63
976	2567	60
977	2569	57
978	2570	55
979	2572	52
980	2576	49
981	2578	47
982	2580	44
983	2582	41
984	2584	39
985	2586	36
986	2589	34
987	2592	31
988	2594	28
989	2596	26
990	2598	23
991	2600	20
992	2603	18
993	2606	15
994	2608	13
995	2610	10
996	2612	7
997	2615	5
998	2617	2
999	2619	0
